time_iso,mode,fps,visibility_ok,num_dets,top_objects,hint,center_cost,corridor_zones,last_speech
2026-02-08T22:28:57,street,145.9,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:28:57,street,145.9,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:28:58,street,115.8,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:28:58,street,115.8,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:28:59,street,144.3,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:28:59,street,144.3,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:00,street,117.5,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:00,street,117.5,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:01,street,141.2,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:01,street,141.2,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:02,street,145.7,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:02,street,145.7,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:04,street,138.4,0,1,person:very close:center,forward,,0,P1:person approaching in front. | P1:person approaching in front. | P0:Warning. person very close in front of you.
2026-02-08T22:29:04,street,4.0,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:05,street,4.0,0,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:05,street,113.4,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:06,street,113.4,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:06,street,143.3,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:07,street,143.3,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
2026-02-08T22:29:07,street,134.7,1,1,person:very close:center,forward,,0,P1:person approaching in front. | P0:Warning. person very close in front of you. | P0:Warning. person very close in front of you.
